iter	Passed	Remaining
474	676	747
475	677	745
476	678	743
477	679	742
478	681	740
479	682	738
480	683	737
481	685	736
482	686	735
483	687	733
484	689	731
485	690	729
486	691	727
487	692	726
488	693	724
489	694	722
490	695	720
491	696	719
492	698	717
493	699	716
494	700	715
495	701	713
496	702	711
497	703	709
498	704	707
499	705	705
500	707	704
501	708	702
502	709	701
503	710	699
504	711	697
505	713	696
506	714	695
507	715	693
508	716	691
509	717	689
510	718	687
511	720	686
512	721	684
513	722	683
514	723	681
515	724	679
516	725	678
517	727	676
518	728	675
519	729	673
520	730	671
521	731	670
522	732	668
523	733	666
524	734	664
525	736	663
526	737	661
527	738	659
528	739	658
529	740	656
530	741	654
531	743	653
532	744	652
533	745	650
534	746	648
535	747	647
536	748	645
537	749	643
538	750	641
539	751	640
540	752	638
541	753	637
542	755	635
543	756	633
544	757	632
545	758	631
546	760	629
547	761	627
548	762	626
549	763	624
550	764	622
551	765	621
552	766	619
553	767	617
554	768	616
555	769	614
556	770	612
557	771	611
558	772	609
559	773	608
560	774	606
561	775	604
562	776	602
563	777	601
564	778	599
565	779	598
566	780	596
567	781	594
568	782	593
569	783	591
570	784	589
571	786	588
572	787	587
573	789	585
574	789	583
575	791	582
576	792	580
577	793	579
578	794	577
579	795	576
580	796	574
581	797	572
582	798	571
583	799	569
584	801	568
585	802	566
586	803	565
587	804	563
588	805	562
589	806	560
590	807	558
591	808	557
592	809	555
593	810	554
594	811	552
595	812	550
596	814	549
597	815	548
598	816	546
599	818	545
600	819	544
601	820	542
602	821	541
603	822	539
604	823	537
605	825	536
606	826	534
607	827	533
608	828	531
609	829	530
610	830	529
611	832	527
612	833	526
613	834	524
614	835	523
615	836	521
616	837	519
617	838	518
618	839	516
619	840	515
620	841	513
621	842	512
622	843	510
623	844	509
624	846	507
625	847	506
626	848	504
627	849	503
628	850	501
629	851	500
630	852	498
631	853	497
632	854	495
633	856	494
634	857	492
635	858	491
636	859	489
637	862	489
638	863	487
639	864	486
640	865	484
641	866	483
642	867	481
643	868	480
644	869	478
645	870	477
646	874	477
647	876	476
648	883	477
649	884	476
650	885	474
651	887	473
652	890	473
653	891	471
654	892	470
655	893	468
656	894	467
657	895	465
658	896	464
659	897	462
660	899	461
661	901	460
662	902	458
663	903	457
664	905	455
665	906	454
666	907	453
667	908	451
668	909	450
669	910	448
670	912	447
671	913	445
672	914	444
673	916	443
674	917	441
675	918	440
676	920	438
677	921	437
678	922	436
679	923	434
680	924	432
681	925	431
682	926	429
683	927	428
684	928	427
685	929	425
686	930	424
687	932	422
688	933	421
689	935	420
690	936	418
691	937	417
692	938	415
693	939	414
694	940	412
695	941	411
696	942	409
697	943	408
698	944	406
699	945	405
700	947	404
701	948	402
702	949	401
703	950	399
704	951	398
705	952	396
706	953	395
707	954	393
708	955	392
709	956	390
710	957	389
711	958	387
712	959	386
713	960	384
714	962	383
715	963	382
716	964	380
717	965	379
718	966	377
719	967	376
720	968	374
721	969	373
722	970	371
723	971	370
724	972	369
725	973	367
726	974	366
727	976	364
728	977	363
729	978	361
730	979	360
731	980	359
732	981	357
733	982	356
734	983	354
735	984	353
736	985	351
737	986	350
738	987	348
739	988	347
740	989	346
741	992	345
742	993	343
743	994	342
744	995	340
745	996	339
746	997	338
747	998	336
748	1000	335
749	1001	333
750	1002	332
751	1003	330
752	1004	329
753	1005	327
754	1006	326
755	1008	325
756	1009	323
757	1010	322
758	1011	321
759	1012	319
760	1013	318
761	1014	316
762	1015	315
763	1016	314
764	1017	312
765	1019	311
766	1020	309
767	1022	308
768	1023	307
769	1024	306
770	1025	304
771	1027	303
772	1028	302
773	1029	300
774	1030	299
775	1032	297
776	1033	296
777	1034	295
778	1036	294
779	1038	292
780	1039	291
781	1041	290
782	1043	289
783	1044	287
784	1045	286
785	1047	285
786	1048	283
787	1050	282
788	1051	281
789	1053	279
790	1054	278
791	1056	277
792	1058	276
793	1059	274
794	1060	273
795	1061	272
796	1063	270
797	1065	269
798	1066	268
799	1068	267
800	1070	265
801	1071	264
802	1073	263
803	1074	261
804	1077	260
805	1078	259
806	1081	258
807	1083	257
808	1085	256
809	1086	254
810	1088	253
811	1091	252
812	1095	251
813	1097	250
814	1098	249
815	1099	248
816	1101	246
817	1103	245
818	1105	244
819	1106	242
820	1107	241
821	1108	240
822	1110	238
823	1112	237
824	1114	236
825	1115	234
826	1116	233
827	1119	232
828	1120	231
829	1122	229
830	1125	228
831	1127	227
832	1129	226
833	1131	225
834	1132	223
835	1133	222
836	1136	221
837	1138	220
838	1141	218
839	1143	217
840	1144	216
841	1146	215
842	1147	213
843	1149	212
844	1151	211
845	1152	209
846	1155	208
847	1157	207
848	1159	206
849	1160	204
850	1162	203
851	1164	202
852	1165	200
853	1166	199
854	1167	198
855	1170	196
856	1172	195
857	1173	194
858	1174	192
859	1176	191
860	1178	190
861	1180	188
862	1181	187
863	1185	186
864	1187	185
865	1189	184
866	1191	182
867	1192	181
868	1193	179
869	1195	178
870	1197	177
871	1201	176
872	1203	175
873	1205	173
874	1206	172
875	1207	170
876	1209	169
877	1210	168
878	1211	166
879	1212	165
880	1215	164
881	1217	162
882	1218	161
883	1219	160
884	1221	158
885	1222	157
886	1224	155
887	1225	154
888	1227	153
889	1229	151
890	1230	150
891	1232	149
892	1233	147
893	1234	146
894	1236	145
895	1238	143
896	1239	142
897	1244	141
898	1246	140
899	1247	138
900	1248	137
901	1250	135
902	1251	134
903	1252	133
904	1253	131
905	1254	130
906	1258	129
907	1261	127
908	1262	126
909	1263	124
910	1265	123
911	1266	122
912	1267	120
913	1268	119
914	1269	117
915	1271	116
916	1273	115
917	1275	113
918	1276	112
919	1277	111
920	1278	109
921	1279	108
922	1280	106
923	1281	105
924	1282	104
925	1283	102
926	1285	101
927	1288	99
928	1289	98
929	1290	97
930	1292	95
931	1293	94
932	1294	92
933	1295	91
934	1296	90
935	1297	88
936	1298	87
937	1300	85
938	1302	84
939	1303	83
940	1305	81
941	1306	80
942	1307	79
943	1308	77
944	1309	76
945	1310	74
946	1311	73
947	1313	72
948	1314	70
949	1315	69
950	1316	67
951	1318	66
952	1319	65
953	1320	63
954	1321	62
955	1322	60
956	1323	59
957	1325	58
958	1326	56
959	1327	55
960	1328	53
961	1330	52
962	1331	51
963	1333	49
964	1334	48
965	1335	47
966	1336	45
967	1337	44
968	1339	42
969	1340	41
970	1341	40
971	1342	38
972	1344	37
973	1345	35
974	1346	34
975	1348	33
976	1349	31
977	1350	30
978	1351	28
979	1353	27
980	1354	26
981	1355	24
982	1356	23
983	1357	22
984	1359	20
985	1360	19
986	1361	17
987	1363	16
988	1364	15
989	1365	13
990	1366	12
991	1367	11
992	1368	9
993	1369	8
994	1371	6
995	1372	5
996	1373	4
997	1375	2
998	1376	1
999	1377	0
